# Identifiers the four hosts on one machine actually emit, read from the
# running services on 2026-09-05. identifier<TAB>family<TAB>quant<TAB>source.
#
# The assertions that matter are the collisions and the splits:
#   qwen3.6-35b-a3b   Lemonade MTP and non-MTP, Lemonade's FLM/NPU build, LM
#                     Studio, and the HuggingFace cache directory are one family
#   qwen2.5-0.5b      Ollama's blob and bartowski's GGUF are one family
#   gemma3-27b        Ollama omits "instruct", HuggingFace writes "-it"
#   umt5-xxl          ComfyUI holds one text encoder at two precisions
#   ...-heretic       an abliterated fine-tune must NOT join its base model
Gemma-4-26B-A4B-it-GGUF	gemma4-26b-a4b		lemonade
Gemma-4-26B-A4B-it-MTP-GGUF	gemma4-26b-a4b		lemonade
Qwen3-0.6B-GGUF	qwen3-0.6b		lemonade
Qwen3.5-122B-A10B-MTP-GGUF	qwen3.5-122b-a10b		lemonade
Qwen3.6-35B-A3B-GGUF	qwen3.6-35b-a3b		lemonade
Qwen3.6-35B-A3B-MTP-GGUF	qwen3.6-35b-a3b		lemonade
qwen3.6-moe-35b-a3b-FLM	qwen3.6-35b-a3b		lemonade
unsloth/gemma-4-26B-A4B-it-GGUF:UD-Q4_K_M	gemma4-26b-a4b	ud_q4_k_m	lemonade-checkpoint
unsloth/Qwen3-0.6B-GGUF:Q4_0	qwen3-0.6b	q4_0	lemonade-checkpoint
unsloth/Qwen3.5-122B-A10B-MTP-GGUF:UD-Q4_K_XL	qwen3.5-122b-a10b	ud_q4_k_xl	lemonade-checkpoint
unsloth/Qwen3.6-35B-A3B-GGUF:Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf	qwen3.6-35b-a3b	ud_q4_k_xl	lemonade-checkpoint
unsloth/Qwen3.6-35B-A3B-MTP-GGUF:Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf	qwen3.6-35b-a3b	ud_q4_k_xl	lemonade-checkpoint
qwen3.6-moe:35b-a3b	qwen3.6-35b-a3b		lemonade-checkpoint
gemma-4-26b-a4b-it-ultra-uncensored-heretic	gemma4-26b-a4b-ultra-uncensored-heretic		lmstudio
cygnal/qwen3.8-27b-heretic-ara-q4_k_m-mtp-gguf/qwen3.8-27b-heretic-ara-q4_k_m-mtp.gguf	qwen3.8-27b-heretic-ara	q4_k_m	lmstudio
cygnal/qwen3.8-27b-heretic-ara-q4_k_m-mtp-gguf/qwen3.8-27b-heretic-ara-rocmfp4-fast.gguf	qwen3.8-27b-heretic-ara	rocmfp4	lmstudio
qwen/qwen3.6-35b-a3b	qwen3.6-35b-a3b		lmstudio
qwen/qwen3.8-27b	qwen3.8-27b		lmstudio
text-embedding-nomic-embed-text-v1.5	text-embedding-nomic-embed-v1.5		lmstudio
lmstudio-community/Qwen3.6-35B-A3B-GGUF/Qwen3.6-35B-A3B-Q4_K_M.gguf	qwen3.6-35b-a3b	q4_k_m	lmstudio-disk
lmstudio-community/Qwen3.8-27B-GGUF/Qwen3.8-27B-Q6_K.gguf	qwen3.8-27b	q6_k	lmstudio-disk
llmfan46/gemma-4-26B-A4B-it-ultra-uncensored-heretic-GGUF/gemma-4-26B-A4B-it-ultra-uncensored-heretic-Q4_K_S.gguf	gemma4-26b-a4b-ultra-uncensored-heretic	q4_k_s	lmstudio-disk
qwen2.5:32b	qwen2.5-32b		ollama
llama3.2:1b	llama3.2-1b		ollama
qwen2.5:1.5b	qwen2.5-1.5b		ollama
qwen2.5:0.5b	qwen2.5-0.5b		ollama
ollama://library/qwen2.5:32b	qwen2.5-32b		ollama-ref
wan2.2_ti2v_5B_fp16.safetensors	wan2.2-5b-ti2v	fp16	comfyui
umt5_xxl_fp16.safetensors	umt5-xxl	fp16	comfyui
umt5_xxl_fp8_e4m3fn_scaled.safetensors	umt5-xxl	fp8_e4m3fn	comfyui
wan2.2_vae.safetensors	wan2.2-vae		comfyui
hf://bartowski/Qwen2.5-0.5B-Instruct-GGUF#IQ2_M	qwen2.5-0.5b	iq2_m	hf-ref
hf://unsloth/Qwen3.6-35B-A3B-MTP-GGUF@5bc3e238d916f48a861bac2f8a1990a0e9b7e98d/Qwen3.6-35B-A3B-UD-Q4_K_XL.gguf	qwen3.6-35b-a3b	ud_q4_k_xl	hf-ref
models--unsloth--Qwen3.6-35B-A3B-MTP-GGUF	qwen3.6-35b-a3b		hf-cache
google/gemma-3-27b-it	gemma3-27b		hf-repo
gemma3:27b	gemma3-27b		ollama
meta-llama/Llama-3.2-1B-Instruct	llama3.2-1b		hf-repo
mmproj-Qwen3.6-35B-A3B-BF16.gguf	qwen3.6-35b-a3b-mmproj	bf16	lmstudio-disk
gemma-4-26B-A4B-it-mmproj-BF16.gguf	gemma4-26b-a4b-mmproj	bf16	lmstudio-disk
unsloth/Qwen3.6-35B-A3B-MTP-GGUF:mmproj-F16.gguf	qwen3.6-35b-a3b-mmproj	f16	lemonade-checkpoint
unsloth/Qwen3.5-122B-A10B-MTP-GGUF/UD-Q4_K_XL/Qwen3.5-122B-A10B-UD-Q4_K_XL-00002-of-00003.gguf	qwen3.5-122b-a10b	ud_q4_k_xl	hf-cache
unsloth/Qwen3.5-122B-A10B-MTP-GGUF/UD-Q4_K_XL/Qwen3.5-122B-A10B-UD-Q4_K_XL-00003-of-00003.gguf	qwen3.5-122b-a10b	ud_q4_k_xl	hf-cache
